Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
Volkswagon,Golf GTI 1.8T,,2002,2002,2935,180,174,178,16.5,41.9,55,-2.5,39.4,T5 ,FALSE,,FALSE,,FALSE,FALSE,470,row 470: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Golf R,,2015,,3340,292,280,288,11.6,62.7,75,7.5,70.2,T3,FALSE,,FALSE,,FALSE,FALSE,471,row 471: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Golf R32,,2004,2004,3256,241,236,239.3,13.6,54.2,70,5,59.2,T4 ,FALSE,,FALSE,,FALSE,FALSE,472,row 472: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Golf R32,,2008,2008,3547,250,236,245.3,14.5,50.6,75,7.5,58.1,T4 ,FALSE,,FALSE,,FALSE,FALSE,473,row 473: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,GTI Coupe,,2007,2009,3161,200,207,202.3,15.6,45.6,60,0,45.6,T4 ,FALSE,,FALSE,,FALSE,FALSE,474,row 474: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Jetta 2.0T,,2006,2006,3259,200,207,202.3,16.1,43.5,55,-2.5,41,T5 ,FALSE,,FALSE,,FALSE,FALSE,475,row 475: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Jetta 2.5L,,2005,2005,3230,150,170,156.7,20.6,24.4,55,-2.5,21.9,T5 ,FALSE,,FALSE,,FALSE,FALSE,476,row 476: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Jetta SE,,2011,,3018,170,177,172.3,17.5,37.6,55,-2.5,35.1,T5 ,FALSE,,FALSE,,FALSE,FALSE,477,row 477: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Jetta VR6 GLS,,2002,2002,3113,174,181,176.3,17.7,37,50,-5,32,T5 ,FALSE,,FALSE,,FALSE,FALSE,478,row 478: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,New Beetle GLS 1.8T,,2000,2000,2875,150,162,154,18.7,32.7,55,-2.5,30.2,T5 ,FALSE,,FALSE,,FALSE,FALSE,479,row 479: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Rabbit 2.5L Coupe,,2007,2007,3072,150,170,156.7,19.6,28.7,55,-2.5,26.2,T5 ,FALSE,,FALSE,,FALSE,FALSE,480,row 480: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Rabbit GTI,,1984,1984,1990,90,100,93.3,21.3,21.4,40,-10,11.4,T5 ,FALSE,,FALSE,,FALSE,FALSE,481,row 481: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Scirocco 16V,,1984,1984,2530,123,120,122,20.7,23.9,40,-10,13.9,T5 ,FALSE,,FALSE,,FALSE,FALSE,482,row 482: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon ,Mk7 GTI,,2015,2021,3116,220,258,232.7,13.4,55.1,70,5,60.1,T3,FALSE,,FALSE,,FALSE,FALSE,483,row 483: unknown Make 'Volkswagon ' (not in makes_and_models.json)
Volkswagon,Golf TDI,,1991,1999,2450,108,173,129.7,18.9,31.7,50,-5,26.7,T5 ,FALSE,,FALSE,,FALSE,FALSE,484,row 484: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Jetta GLI-S,,2019,,3217,228,258,238,13.5,54.6,70,5,59.6,T4 ,FALSE,,FALSE,,FALSE,FALSE,485,row 485: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Mk6 Golf GTI,,2010,2014,3100,200,207,202.3,15.3,46.9,65,2.5,49.4,T4 ,FALSE,,FALSE,,FALSE,FALSE,486,row 486: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Mk7 GTI-S,,2015,,3116,220,258,232.7,13.4,55.1,70,5,60.1,T3,FALSE,,FALSE,,FALSE,FALSE,487,row 487: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volkswagon,Mk8 Golf R,,2022,2024,3360,315,310,313.3,10.7,66.4,80,10,76.4,T2,FALSE,,FALSE,,FALSE,FALSE,488,row 488: unknown Make 'Volkswagon' (not in makes_and_models.json)
Volvo,V70R,,2007,2007,3689,300,295,298.3,12.4,59.4,50,-5,54.4,T4 ,,,,,,,490,row 490: Model 'V70R' does not match any model key/name for make 'volvo'
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,491,row 491: skipped (empty make and model)
